,date,home_team,score,away_tem
527,05-05-2024,Osasuna,0 - 2,Betis
528,11-05-2024,Ath Bilbao,2 - 2,Osasuna
529,14-05-2024,Osasuna,1 - 1,Mallorca
530,19-05-2024,Ath Madrid,1 - 4,Osasuna
531,25-05-2024,Osasuna,1 - 1,Villarreal
532,12-08-2023,Ath Bilbao,0 - 2,Real Madrid
533,19-08-2023,Almeria,1 - 3,Real Madrid
534,25-08-2023,Celta,0 - 1,Real Madrid
535,02-09-2023,Real Madrid,2 - 1,Getafe
536,17-09-2023,Real Madrid,2 - 1,Sociedad
537,24-09-2023,Ath Madrid,3 - 1,Real Madrid
538,27-09-2023,Real Madrid,2 - 0,Las Palmas
539,30-09-2023,Girona,0 - 3,Real Madrid
540,07-10-2023,Real Madrid,4 - 0,Osasuna
541,21-10-2023,Sevilla,1 - 1,Real Madrid
542,28-10-2023,Barcelona,1 - 2,Real Madrid
543,05-11-2023,Real Madrid,0 - 0,Vallecano
544,11-11-2023,Real Madrid,5 - 1,Valencia
545,26-11-2023,Cadiz,0 - 3,Real Madrid
546,02-12-2023,Real Madrid,2 - 0,Granada
547,09-12-2023,Betis,1 - 1,Real Madrid
548,17-12-2023,Real Madrid,4 - 1,Villarreal
549,21-12-2023,Alaves,0 - 1,Real Madrid
550,03-01-2024,Real Madrid,1 - 0,Mallorca
551,21-01-2024,Real Madrid,3 - 2,Almeria
552,27-01-2024,Las Palmas,1 - 2,Real Madrid
553,01-02-2024,Getafe,0 - 2,Real Madrid
554,04-02-2024,Real Madrid,1 - 1,Ath Madrid
555,10-02-2024,Real Madrid,4 - 0,Girona
556,18-02-2024,Vallecano,1 - 1,Real Madrid
557,25-02-2024,Real Madrid,1 - 0,Sevilla
558,02-03-2024,Valencia,2 - 2,Real Madrid
559,10-03-2024,Real Madrid,4 - 0,Celta
560,16-03-2024,Osasuna,2 - 4,Real Madrid
561,31-03-2024,Real Madrid,2 - 0,Ath Bilbao
562,13-04-2024,Mallorca,0 - 1,Real Madrid
563,21-04-2024,Real Madrid,3 - 2,Barcelona
564,26-04-2024,Sociedad,0 - 1,Real Madrid
565,04-05-2024,Real Madrid,3 - 0,Cadiz
566,11-05-2024,Granada,0 - 4,Real Madrid
567,14-05-2024,Real Madrid,5 - 0,Alaves
568,19-05-2024,Villarreal,4 - 4,Real Madrid
569,25-05-2024,Real Madrid,0 - 0,Betis
570,11-08-2023,Sevilla,1 - 2,Valencia
571,21-08-2023,Alaves,4 - 3,Sevilla
572,26-08-2023,Sevilla,1 - 2,Girona
573,17-09-2023,Sevilla,1 - 0,Las Palmas
574,23-09-2023,Osasuna,0 - 0,Sevilla
575,26-09-2023,Sevilla,5 - 1,Almeria
576,29-09-2023,Barcelona,1 - 0,Sevilla
577,07-10-2023,Sevilla,2 - 2,Vallecano
578,21-10-2023,Sevilla,1 - 1,Real Madrid
579,28-10-2023,Cadiz,2 - 2,Sevilla
580,04-11-2023,Celta,1 - 1,Sevilla
581,12-11-2023,Sevilla,1 - 1,Betis
582,26-11-2023,Sociedad,2 - 1,Sevilla
583,03-12-2023,Sevilla,1 - 1,Villarreal
584,09-12-2023,Mallorca,1 - 0,Sevilla
585,16-12-2023,Sevilla,0 - 3,Getafe
586,19-12-2023,Granada,0 - 3,Sevilla
587,23-12-2023,Ath Madrid,1 - 0,Sevilla
588,04-01-2024,Sevilla,0 - 2,Ath Bilbao
589,12-01-2024,Sevilla,2 - 3,Alaves
590,21-01-2024,Girona,5 - 1,Sevilla
591,28-01-2024,Sevilla,1 - 1,Osasuna
592,05-02-2024,Vallecano,1 - 2,Sevilla
593,11-02-2024,Sevilla,1 - 0,Ath Madrid
594,17-02-2024,Valencia,0 - 0,Sevilla
595,25-02-2024,Real Madrid,1 - 0,Sevilla
596,02-03-2024,Sevilla,3 - 2,Sociedad
597,11-03-2024,Almeria,2 - 2,Sevilla
598,17-03-2024,Sevilla,1 - 2,Celta
599,30-03-2024,Getafe,0 - 1,Sevilla
600,14-04-2024,Las Palmas,0 - 2,Sevilla
601,22-04-2024,Sevilla,2 - 1,Mallorca
602,28-04-2024,Betis,1 - 1,Sevilla
603,05-05-2024,Sevilla,3 - 0,Granada
604,11-05-2024,Villarreal,3 - 2,Sevilla
605,15-05-2024,Sevilla,0 - 1,Cadiz
606,19-05-2024,Ath Bilbao,2 - 0,Sevilla
607,26-05-2024,Sevilla,1 - 2,Barcelona
608,12-08-2023,Sociedad,1 - 1,Girona
609,19-08-2023,Sociedad,1 - 1,Celta
610,25-08-2023,Las Palmas,0 - 0,Sociedad
611,02-09-2023,Sociedad,5 - 3,Granada
612,17-09-2023,Real Madrid,2 - 1,Sociedad
613,24-09-2023,Sociedad,4 - 3,Getafe
614,27-09-2023,Valencia,0 - 1,Sociedad
615,30-09-2023,Sociedad,3 - 0,Ath Bilbao
616,08-10-2023,Ath Madrid,2 - 1,Sociedad
617,21-10-2023,Sociedad,1 - 0,Mallorca
618,29-10-2023,Vallecano,2 - 2,Sociedad
619,04-11-2023,Sociedad,0 - 1,Barcelona
620,11-11-2023,Almeria,1 - 3,Sociedad
621,26-11-2023,Sociedad,2 - 1,Sevilla
622,02-12-2023,Osasuna,1 - 1,Sociedad
623,09-12-2023,Villarreal,0 - 3,Sociedad
624,17-12-2023,Sociedad,0 - 0,Betis
625,21-12-2023,Cadiz,0 - 0,Sociedad
626,02-01-2024,Sociedad,1 - 1,Alaves
627,13-01-2024,Ath Bilbao,2 - 1,Sociedad
628,20-01-2024,Celta,0 - 1,Sociedad
629,27-01-2024,Sociedad,0 - 0,Vallecano
630,03-02-2024,Girona,0 - 0,Sociedad
631,10-02-2024,Sociedad,0 - 1,Osasuna
632,18-02-2024,Mallorca,1 - 2,Sociedad
633,23-02-2024,Sociedad,1 - 3,Villarreal
634,02-03-2024,Sevilla,3 - 2,Sociedad
635,09-03-2024,Granada,2 - 3,Sociedad
636,15-03-2024,Sociedad,2 - 0,Cadiz
637,31-03-2024,Alaves,0 - 1,Sociedad
638,14-04-2024,Sociedad,2 - 2,Almeria
639,21-04-2024,Getafe,1 - 1,Sociedad
640,26-04-2024,Sociedad,0 - 1,Real Madrid
641,04-05-2024,Sociedad,2 - 0,Las Palmas
642,13-05-2024,Barcelona,2 - 0,Sociedad
643,16-05-2024,Sociedad,1 - 0,Valencia
644,19-05-2024,Betis,0 - 2,Sociedad
645,25-05-2024,Sociedad,0 - 2,Ath Madrid
646,11-08-2023,Sevilla,1 - 2,Valencia
647,18-08-2023,Valencia,1 - 0,Las Palmas
648,27-08-2023,Valencia,1 - 2,Osasuna
649,02-09-2023,Alaves,1 - 0,Valencia
650,16-09-2023,Valencia,3 - 0,Ath Madrid
651,23-09-2023,Almeria,2 - 2,Valencia
652,27-09-2023,Valencia,0 - 1,Sociedad
653,01-10-2023,Betis,3 - 0,Valencia
654,07-10-2023,Mallorca,1 - 1,Valencia
655,23-10-2023,Valencia,2 - 0,Cadiz
656,29-10-2023,Ath Bilbao,2 - 2,Valencia
657,05-11-2023,Valencia,1 - 0,Granada
658,11-11-2023,Real Madrid,5 - 1,Valencia
659,25-11-2023,Valencia,0 - 0,Celta
660,02-12-2023,Girona,2 - 1,Valencia
661,08-12-2023,Getafe,1 - 0,Valencia
662,16-12-2023,Valencia,1 - 1,Barcelona
663,19-12-2023,Vallecano,0 - 1,Valencia
664,02-01-2024,Valencia,3 - 1,Villarreal
665,14-01-2024,Cadiz,1 - 4,Valencia
666,20-01-2024,Valencia,1 - 0,Ath Bilbao
667,28-01-2024,Ath Madrid,2 - 0,Valencia
668,03-02-2024,Valencia,2 - 1,Almeria
669,10-02-2024,Las Palmas,2 - 0,Valencia
670,17-02-2024,Valencia,0 - 0,Sevilla
671,02-03-2024,Valencia,2 - 2,Real Madrid
672,09-03-2024,Valencia,1 - 0,Getafe
673,17-03-2024,Villarreal,1 - 0,Valencia
674,30-03-2024,Valencia,0 - 0,Mallorca
675,04-04-2024,Granada,0 - 1,Valencia
676,15-04-2024,Osasuna,0 - 1,Valencia
677,20-04-2024,Valencia,1 - 2,Betis
678,29-04-2024,Barcelona,4 - 2,Valencia
679,05-05-2024,Valencia,0 - 1,Alaves
680,12-05-2024,Valencia,0 - 0,Vallecano
681,16-05-2024,Sociedad,1 - 0,Valencia
682,19-05-2024,Valencia,1 - 3,Girona
683,26-05-2024,Celta,2 - 2,Valencia
684,11-08-2023,Almeria,0 - 2,Vallecano
685,21-08-2023,Granada,0 - 2,Vallecano
686,28-08-2023,Vallecano,0 - 7,Ath Madrid
687,02-09-2023,Betis,1 - 0,Vallecano
688,15-09-2023,Vallecano,2 - 0,Alaves
689,24-09-2023,Vallecano,1 - 1,Villarreal
690,27-09-2023,Cadiz,0 - 0,Vallecano
691,30-09-2023,Vallecano,2 - 2,Mallorca
692,07-10-2023,Sevilla,2 - 2,Vallecano
693,22-10-2023,Las Palmas,0 - 1,Vallecano
694,29-10-2023,Vallecano,2 - 2,Sociedad
695,05-11-2023,Real Madrid,0 - 0,Vallecano
696,11-11-2023,Vallecano,1 - 2,Girona
697,25-11-2023,Vallecano,1 - 1,Barcelona
698,02-12-2023,Ath Bilbao,4 - 0,Vallecano
699,11-12-2023,Vallecano,0 - 0,Celta
700,15-12-2023,Osasuna,1 - 0,Vallecano
701,19-12-2023,Vallecano,0 - 1,Valencia
702,02-01-2024,Getafe,0 - 2,Vallecano
703,20-01-2024,Vallecano,0 - 2,Las Palmas
704,27-01-2024,Sociedad,0 - 0,Vallecano
705,31-01-2024,Ath Madrid,2 - 1,Vallecano
706,05-02-2024,Vallecano,1 - 2,Sevilla
707,11-02-2024,Mallorca,2 - 1,Vallecano
708,18-02-2024,Vallecano,1 - 1,Real Madrid
709,26-02-2024,Girona,3 - 0,Vallecano
710,02-03-2024,Vallecano,1 - 1,Cadiz
711,10-03-2024,Alaves,1 - 0,Vallecano
712,17-03-2024,Vallecano,2 - 0,Betis
713,31-03-2024,Celta,0 - 0,Vallecano
714,13-04-2024,Vallecano,0 - 0,Getafe
715,20-04-2024,Vallecano,2 - 1,Osasuna
716,28-04-2024,Villarreal,3 - 0,Vallecano
717,05-05-2024,Vallecano,0 - 1,Almeria
718,12-05-2024,Valencia,0 - 0,Vallecano
719,15-05-2024,Vallecano,2 - 1,Granada
720,19-05-2024,Barcelona,3 - 0,Vallecano
721,25-05-2024,Vallecano,0 - 1,Ath Bilbao
722,13-08-2023,Villarreal,1 - 2,Betis
723,18-08-2023,Mallorca,0 - 1,Villarreal
724,27-08-2023,Villarreal,3 - 4,Barcelona
725,01-09-2023,Cadiz,3 - 1,Villarreal
726,17-09-2023,Villarreal,2 - 1,Almeria
727,24-09-2023,Vallecano,1 - 1,Villarreal
728,27-09-2023,Villarreal,1 - 2,Girona
729,30-09-2023,Getafe,0 - 0,Villarreal
730,08-10-2023,Villarreal,1 - 2,Las Palmas
731,22-10-2023,Villarreal,1 - 1,Alaves
732,30-10-2023,Granada,2 - 3,Villarreal
733,05-11-2023,Villarreal,2 - 3,Ath Bilbao
734,12-11-2023,Ath Madrid,3 - 1,Villarreal
735,26-11-2023,Villarreal,3 - 1,Osasuna
736,03-12-2023,Sevilla,1 - 1,Villarreal
737,09-12-2023,Villarreal,0 - 3,Sociedad
738,17-12-2023,Real Madrid,4 - 1,Villarreal
739,20-12-2023,Villarreal,3 - 2,Celta
740,02-01-2024,Valencia,3 - 1,Villarreal
741,13-01-2024,Las Palmas,3 - 0,Villarreal
742,20-01-2024,Villarreal,1 - 1,Mallorca
743,27-01-2024,Barcelona,3 - 5,Villarreal
744,04-02-2024,Villarreal,0 - 0,Cadiz
745,10-02-2024,Alaves,1 - 1,Villarreal
746,16-02-2024,Villarreal,1 - 1,Getafe
747,23-02-2024,Sociedad,1 - 3,Villarreal
748,03-03-2024,Villarreal,5 - 1,Granada
749,10-03-2024,Betis,2 - 3,Villarreal
750,17-03-2024,Villarreal,1 - 0,Valencia
751,01-04-2024,Villarreal,1 - 2,Ath Madrid
752,14-04-2024,Ath Bilbao,1 - 1,Villarreal
753,21-04-2024,Almeria,1 - 2,Villarreal
754,28-04-2024,Villarreal,3 - 0,Vallecano
755,05-05-2024,Celta,3 - 2,Villarreal
756,11-05-2024,Villarreal,3 - 2,Sevilla
757,14-05-2024,Girona,0 - 1,Villarreal
758,19-05-2024,Villarreal,4 - 4,Real Madrid
759,25-05-2024,Osasuna,1 - 1,Villarreal
