POS,PLAYER,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100,50,4S,6S
59,"Rinku Singh
KKR",15,11,2,168,26,18.67,113,148.67,0,0,13,8
60,"David Warner
DC",8,8,0,168,52,21.00,125,134.40,0,1,17,10
61,"Rahul Tripathi
SRH",6,6,0,165,55,27.50,115,143.47,0,1,18,6
62,"Angkrish Raghuvanshi
KKR",10,7,0,163,54,23.29,105,155.23,0,1,16,8
63,"MS Dhoni
CSK",14,11,8,161,37*,53.67,73,220.54,0,0,14,13
64,"Shikhar Dhawan
PBKS",5,5,0,152,70,30.40,121,125.61,0,1,18,4
65,"Deepak Hooda
LSG",11,9,1,145,50,18.13,105,138.09,0,1,16,3
66,"Naman Dhir
MI",7,7,1,140,62*,23.33,79,177.21,0,1,12,10
67,"Pat Cummins
SRH",16,10,4,136,35*,22.67,95,143.15,0,0,9,8
68,"Wriddhiman Saha
GT",9,9,0,136,39,15.11,115,118.26,0,0,18,3
69,"Krunal Pandya
LSG",14,12,8,133,43*,33.25,105,126.66,0,0,8,5
70,"Moeen Ali
CSK",8,5,0,128,56,25.60,98,130.61,0,1,7,8
71,"Shahrukh Khan
GT",7,7,0,127,58,18.14,75,169.33,0,1,9,9
72,"Ramandeep Singh
KKR",15,9,5,125,35,31.25,62,201.61,0,0,5,12
73,"Mahipal Lomror
RCB",10,10,2,125,33,15.63,68,183.82,0,0,9,9
74,"Shimron Hetmyer
RR",12,9,4,113,27*,22.60,69,163.76,0,0,9,7
75,"Liam Livingstone
PBKS",7,7,2,111,38*,22.20,78,142.30,0,0,8,7
76,"Nehal Wadhera
MI",6,6,0,109,49,18.17,84,129.76,0,0,9,6
77,"Rovman Powell
RR",10,7,1,103,27,17.17,68,151.47,0,0,10,6
78,"Rashid Khan
GT",12,8,3,102,31,20.40,71,143.66,0,0,11,3
79,"Anuj Rawat
RCB",5,5,1,98,48,24.50,77,127.27,0,0,10,3
80,"Ravichandran Ashwin
RR",15,9,3,86,29,14.33,74,116.21,0,0,5,4
81,"Arshad Khan
LSG",4,4,2,83,58*,41.50,54,153.70,0,1,6,5
82,"Vijay Shankar
GT",7,7,2,83,17,16.60,72,115.27,0,0,7,2
83,"Harpreet Brar
PBKS",13,7,5,75,29,37.50,54,138.88,0,0,8,2
84,"Dewald Brevis
MI",3,3,0,69,46,23.00,59,116.94,0,0,3,5
85,"Mayank Agarwal
SRH",4,4,0,64,32,16.00,57,112.28,0,0,8,1
86,"Rahmanullah Gurbaz
KKR",3,2,0,62,39,31.00,46,134.78,0,0,7,4
87,"Mitchell Marsh
DC",4,4,0,61,23,15.25,38,160.52,0,0,9,3
88,"Atharva Taide
PBKS",2,2,0,61,46,30.50,39,156.41,0,0,7,2
89,"Romario Shepherd
MI",6,5,3,57,39*,28.50,21,271.42,0,0,5,5
90,"Glenn Maxwell
RCB",10,9,0,52,28,5.78,43,120.93,0,0,6,2
91,"Sameer Rizwi
CSK",8,5,1,51,21,12.75,43,118.60,0,0,4,2
92,"Tom Kohler- Cadmore
RR",4,3,0,48,20,16.00,54,88.88,0,0,7,1
93,"Kuldeep Yadav
DC",11,5,2,47,35*,15.67,41,114.63,0,0,6,1
94,"Sikandar Raza
PBKS",2,2,0,43,28,21.50,38,113.15,0,0,2,2
95,"Manish Pandey
KKR",1,1,0,42,42,42.00,31,135.48,0,0,2,2
96,"Azmatullah Omarzai
GT",7,4,0,42,17,10.50,33,127.27,0,0,2,2
97,"Nitish Rana
KKR",2,2,0,42,33,21.00,34,123.52,0,0,5,1
98,"Devdutt Padikkal
LSG",7,7,0,38,13,5.43,53,71.69,0,0,3,0
99,"Swapnil Singh
RCB",7,5,3,37,15*,18.50,21,176.19,0,0,3,3
100,"Mohammad Nabi
MI",7,5,1,35,23,8.75,31,112.90,0,0,2,2
101,"Shubham Dubey
RR",4,3,1,33,25,16.50,19,173.68,0,0,3,2
102,"Karn Sharma
RCB",9,3,0,31,20,10.33,15,206.66,0,0,2,3
103,"Rasikh Salam
DC",8,4,0,28,10,7.00,30,93.33,0,0,4,0
104,"Kane Williamson
GT",2,2,0,27,26,13.50,27,100.00,0,0,4,0
105,"Harpreet Bhatia
PBKS",2,2,0,27,14,13.50,34,79.41,0,0,2,0
106,"Suyash S Prabhudessai
RCB",1,1,0,24,24,24.00,18,133.33,0,0,3,0
107,"Jaydev Unadkat
SRH",11,5,2,24,8*,8.00,26,92.30,0,0,2,1
108,"Tanush Kotian
RR",1,1,0,24,24,24.00,31,77.41,0,0,3,0
109,"Bhuvneshwar Kumar
SRH",16,5,2,23,13,7.67,29,79.31,0,0,3,0
110,"Yudhvir Singh
LSG",2,2,0,21,14,10.50,14,150.00,0,0,1,2
111,"Rahul Chahar
PBKS",9,2,1,21,16,21.00,15,140.00,0,0,3,1
